location;name;open;halal;qr_link;opening_time;closing_time;image_url;icon_url;uid;card_settings;latest_menu_version;menu_history
1;Chicken Rice;TRUE;FALSE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;ch1ck3n;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
1;Indian;TRUE;FALSE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;indi@n;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
1;Western;TRUE;TRUE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;w3stern;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
1;Health Soup;TRUE;FALSE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;he4lths0up;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
1;Korean;TRUE;FALSE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;korean;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
1;Mixed Rice;TRUE;FALSE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;m1xedr1ce;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
1;Drinks;TRUE;TRUE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;dr1nks;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
1;Creamy Duck;TRUE;FALSE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;cre@myduck;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
1;Malay;TRUE;TRUE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;mus1im;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
2;Gom Gom;TRUE;TRUE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;G0mgom;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
3;d'Star Bistro;TRUE;TRUE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;montcalzone;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
4;Crooked Cooks;TRUE;TRUE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;crook3dcooks;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;
5;Gong Cha;TRUE;TRUE;;{08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM, 08:00:00 AM};{07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM, 07:00:00 PM};;;G0ngch4;"{""Dish Name"": true,""Dish Tag (Opt)"": true,""Quantity"": true,""Add ons"": true,""Custom Message"": true,""Price (Opt)"": true,""Queue Number"": true}";;